,name,username,license,tags,mfcc,freesound_id,path
35,Nova Analog Castanets Click Clack Percussion - Nova Sound,NovaSoundTechnology,http://creativecommons.org/publicdomain/zero/1.0/,"['Analog', 'Castanets', 'Clack', 'Click', 'Drum', 'Drums', 'Erace', 'FX', 'Hate', 'Hip', 'Hop', 'Nova', 'NovaSound', 'NovaSoundTechnology', 'Percussion', 'Sound', 'The']","[-1023.522, 38.275, 11.853, 23.501, 11.174, 20.774, 12.952, 7.968, 0.064, 6.944, -3.76, 5.968, -3.027]",347128,files/347128_369949-hq.ogg
36,Peaceful Flare Stick Snap Snare Drum Percussion - Nova Sound,NovaSoundTechnology,http://creativecommons.org/publicdomain/zero/1.0/,"['Drum', 'Drums', 'Erace', 'FX', 'Flare', 'Hate', 'Hip', 'Hop', 'Nova', 'NovaSound', 'NovaSoundTechnology', 'Peaceful', 'Percussion', 'Snap', 'Snare', 'Sound', 'Stick', 'The']","[-1027.981, 27.223, 0.72, 39.125, 3.07, -10.442, 15.887, 8.18, -8.139, 8.498, -0.607, -11.575, -3.899]",347127,files/347127_369949-hq.ogg
37,YP Plague Percussion D-14,nlux,https://creativecommons.org/licenses/by/4.0/,"['1010', 'beat', 'beats', 'black-death', 'blackdeath', 'dark', 'digital', 'drum', 'drumbeat', 'drums', 'drumset', 'electric', 'electronic', 'glitch', 'glitchy', 'illbient', 'industrial', 'lo-fi', 'machine', 'noise', 'percs', 'percussion', 'percussive', 'pestis', 'plague', 'rhythm', 'strange', 'uneasy', 'urban', 'yersinia']","[-843.029, 184.045, -39.058, -44.872, 16.113, 25.122, -11.79, -6.963, 6.13, 3.088, -5.181, 1.5, 4.501]",622186,files/622186_9047165-hq.ogg
38,Cellotape Percussion One Shot9,Soundsman23234,http://creativecommons.org/publicdomain/zero/1.0/,"['IDM', 'adhesive', 'ambient', 'cellotape', 'cinematic', 'creativepercussion', 'drumoneshots', 'electronic', 'experimentalpercussion', 'foley', 'foundsound', 'glitch', 'layeringsounds', 'lofi', 'oneshot', 'organi', 'percussion', 'samplepack', 'sounddesign', 'tapepercussion', 'tapesounds', 'texture', 'uniquepercussion']","[-1062.357, -79.961, -20.075, -3.07, -14.069, 4.342, 0.136, 1.148, -10.367, 1.895, -2.278, -0.811, 1.814]",809204,files/809204_9062490-hq.ogg
39,TapBongo_01,oceansonmars,http://creativecommons.org/publicdomain/zero/1.0/,"['Acoustic', 'Bongo', 'Cabasa', 'Clave', 'Drum', 'Percussion', 'Shaker']","[-1042.648, 151.116, 44.534, 35.756, 5.3, -9.702, -17.883, -12.568, -9.195, -9.688, 2.421, 11.698, 18.827]",710221,files/710221_15225418-hq.ogg
40,[Vocal] distorted lollievox vocal sample,waveplaySFX,http://creativecommons.org/publicdomain/zero/1.0/,"['aesthetic', 'distort', 'distorted', 'distortion', 'driven', 'indie', 'lauri', 'laurie-webb', 'lauriewebb', 'lollievox', 'overdrive', 'overdriven', 'overkill', 'sample', 'vocal', 'vocals', 'webb']","[-872.067, 88.265, -36.047, 37.536, -16.507, -41.91, -32.307, -8.848, -21.394, -26.371, -16.692, -14.388, -10.603]",554949,files/554949_1676145-hq.ogg
41,Electric Piano with Vocals Gm7,Objecity,https://creativecommons.org/licenses/by-nc/4.0/,"['electric-piano', 'gm7', 'keyboard', 'vocals']","[-787.733, 120.141, 67.31, 5.433, -30.106, -18.561, -23.272, 11.059, -29.044, -3.788, -8.886, -3.782, -7.665]",703654,files/703654_15259013-hq.ogg
42,I Like 002.aif,humphreyswill,https://creativecommons.org/licenses/by/4.0/,"['male', 'processed', 'vocals']","[-870.6, 188.121, -25.19, -22.376, -27.623, -19.01, -31.043, -9.344, 6.878, 16.47, 19.422, 3.516, -12.689]",61138,files/61138_751763-hq.ogg
43,Kick The Bass 2 - www.hardsamples.com - by shock force.wav,shockforce,http://creativecommons.org/licenses/by/3.0/,"['acapella', 'acepellas', 'dj', 'gabber', 'hardcore', 'hardstyle', 'vocal', 'vocals', 'voice', 'voices']","[-583.759, 46.06, -2.794, 29.543, 12.383, 17.414, -7.283, 0.441, -13.066, -1.525, -5.25, 0.581, -3.697]",42214,files/42214_429662-hq.ogg
44,vocal_range_altogether_22mix.mp3,dwsolo,http://creativecommons.org/licenses/sampling+/1.0/,"['alto', 'bass', 'notes', 'tenor', 'together', 'vocals']","[-664.87, 183.73, -7.177, -20.41, -80.245, -17.866, 27.636, 2.253, -23.954, -28.325, 23.593, 12.845, -13.113]",23877,files/23877_156279-hq.ogg
45,Vocal Roll.wav,KatHakaku,http://creativecommons.org/publicdomain/zero/1.0/,"['kaoss', 'musik', 'noisy', 'processed', 'vocals', 'weird']","[-700.077, 116.9, -26.527, -3.924, 40.592, 19.069, -3.732, 9.15, -9.825, -0.919, -5.045, 0.852, -1.349]",52694,files/52694_164285-hq.ogg
46,woahoh.wav,nharasha,http://creativecommons.org/publicdomain/zero/1.0/,"['abrasive', 'screaming', 'vocals', 'vox']","[-691.193, 7.1, -61.055, -62.473, -58.263, -16.635, -39.195, -4.892, -22.21, -66.008, 3.601, 18.12, 35.809]",653229,files/653229_5657141-hq.ogg
47,woahohoh.wav,nharasha,http://creativecommons.org/publicdomain/zero/1.0/,"['acapella', 'highpitched', 'scream', 'vocals', 'vox']","[-1264.911, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",653024,files/653024_5657141-hq.ogg
48,147_IDK laugh rythm 01,gunnbladez,https://creativecommons.org/licenses/by/4.0/,"['laughing', 'mikeb', 'vocals']","[-727.673, 42.796, -46.727, -2.853, -10.942, 7.488, -10.677, -1.732, 3.448, -1.518, 5.582, -10.239, -9.817]",662644,files/662644_1603602-hq.ogg
49,noizesinging.wav,RandomInsults,http://creativecommons.org/licenses/sampling+/1.0/,"['field-recordings', 'noise', 'singing', 'vocals']","[-552.363, 112.991, -2.59, 3.821, -33.554, -12.698, -19.189, -6.507, -2.219, 15.21, 18.235, 21.293, 18.744]",14840,files/14840_43870-hq.ogg
50,u.wav,kospy,http://creativecommons.org/licenses/sampling+/1.0/,"['catalan', 'male', 'u', 'vocals', 'voice']","[-1052.661, 184.27, 76.791, 22.787, 4.905, -8.491, -19.56, -4.763, -7.926, 4.586, -2.142, -2.091, 10.352]",87679,files/87679_1132904-hq.ogg
51,"UFO-Type Vocal - ""Drop The Beat!""",WatermelonDreams,http://creativecommons.org/publicdomain/zero/1.0/,"['Breathy', 'Cold', 'Dissonant', 'Distorted', 'Female', 'Monophonic', 'One', 'Pitch', 'Processed', 'Short', 'Spacey', 'Sweepfilter', 'Trance', 'Vocal', 'Vocals', 'Weird', 'bend', 'fx', 'mod', 'shot']","[-804.081, 118.457, -64.842, -10.676, -71.626, -42.61, -49.077, -16.787, -10.927, -22.035, -6.371, -5.708, -5.97]",794477,files/794477_17081855-hq.ogg
52,"UFO-Type Vocal - ""Ooh Baby!""",WatermelonDreams,http://creativecommons.org/publicdomain/zero/1.0/,"['Breathy', 'Cold', 'Dissonant', 'Distorted', 'Female', 'Monophonic', 'One', 'Pitch', 'Processed', 'Short', 'Spacey', 'Sweepfilter', 'Trance', 'Vocal', 'Vocals', 'Weird', 'bend', 'fx', 'mod', 'shot']","[-810.875, 113.92, -47.016, -13.699, -79.953, -55.35, -46.036, -15.068, -10.9, -15.083, -19.645, 5.94, -4.143]",794480,files/794480_17081855-hq.ogg
53,"UFO-Type Vocal - ""Oh Wow!""",WatermelonDreams,http://creativecommons.org/publicdomain/zero/1.0/,"['Breathy', 'Cold', 'Dissonant', 'Distorted', 'Female', 'Monophonic', 'One', 'Pitch', 'Processed', 'Short', 'Spacey', 'Sweepfilter', 'Trance', 'Vocal', 'Vocals', 'Weird', 'bend', 'fx', 'mod', 'shot']","[-763.261, 196.518, -111.996, -46.804, -52.729, -26.049, -38.434, -21.48, -21.766, -21.081, -18.275, -15.868, -16.358]",794479,files/794479_17081855-hq.ogg
54,WHOOPING 01.wav,sandyrb,https://creativecommons.org/licenses/by/4.0/,"['129bpm', 'female', 'male', 'party', 'shot', 'shots', 'stab', 'stabs', 'vocal', 'vocals']","[-940.54, 117.682, -21.277, -10.091, -29.318, -17.983, -18.484, -12.356, -9.541, 17.247, 18.195, 16.284, 9.543]",86222,files/86222_14771-hq.ogg
55,atmospheric vocals short Aiy.wav,AndreAngelo,http://creativecommons.org/licenses/by/3.0/,"['aiy', 'horror', 'short', 'vocal', 'vocals', 'voice']","[-780.126, 66.194, -134.497, 50.089, -22.059, -2.33, -14.277, -15.179, -5.885, 11.008, 14.822, 18.049, 20.949]",246218,files/246218_4523435-hq.ogg
56,goitu2.wav,Rhedcerulean,http://creativecommons.org/licenses/sampling+/1.0/,"['fx', 'vocals']","[-867.789, 232.121, 16.655, 47.226, -3.734, 12.877, -4.533, -0.073, 8.302, -8.347, -18.909, -6.126, 5.691]",31434,files/31434_259814-hq.ogg
57,REFLEXVOCALS01.wav,mushino,https://creativecommons.org/licenses/by/4.0/,"['boom', 'raga', 'vocals']","[-721.871, 182.541, -2.62, 19.436, 9.148, 12.192, -18.035, -27.842, -11.402, -5.5, -7.884, -11.433, -9.837]",205829,files/205829_3848324-hq.ogg
58,Damage Hit Voice Vocal,dersuperanton,https://creativecommons.org/licenses/by/4.0/,"['damage', 'expression', 'hit', 'human', 'male', 'man', 'scream', 'videogame', 'vocal', 'vocals', 'voice']","[-1014.864, 70.89, -1.583, -9.395, -13.449, -11.492, -9.477, -11.081, -16.657, -12.826, -5.526, 8.093, -1.879]",437651,files/437651_1992856-hq.ogg
59,Wretch SFX - Short,WatermelonDreams,http://creativecommons.org/publicdomain/zero/1.0/,"['Acoustic', 'Cinematic', 'Desperate', 'Disgusting', 'Dynamic', 'Echoing', 'Hard', 'Horror', 'Lo-fi', 'Low', 'Nervous', 'Noisy', 'One', 'Rough', 'Sfx', 'Short', 'Strange', 'Unpolished', 'Vocal', 'Vocals', 'Weird', 'Wet', 'Wretch', 'fx', 'shot']","[-1045.253, 79.693, -42.422, 27.594, -38.268, -47.974, -28.79, -9.544, -5.114, 18.376, 21.626, -13.385, 2.645]",794476,files/794476_17081855-hq.ogg
