,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,spectral_centroid,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,tonality_key,tonality_scale,tonality_confidence
489,467250,467250_f124,files/467250_9159316-hq.ogg,1015808,1024000,0.016175661236047745,-1005.13727,253.24097,127.13422,47.579742,26.783014,46.12824,43.137413,43.123707,-1.2393392,23.406681,1.5399243,-22.34158,6.952552,0.009745899587869644,0.07235463,0.006715768,0.14472444,0.013649715,0.71494013,0.10796354,0.002349436,1.0,0.002188198,0.025110926,0.0006935431,0.056062862,E,major,0.5592283606529236
490,467250,467250_f125,files/467250_9159316-hq.ogg,1024000,1032192,0.016281921416521072,-1014.68604,248.25179,127.42706,51.25126,25.137873,41.54062,39.667946,47.71884,6.6857324,21.683033,11.763374,-22.29015,4.420108,0.008788607083261013,0.0045542517,0.05903451,6.0583236e-05,5.0506915e-05,0.5692865,0.000113653696,1.0,0.00015810007,0.007368342,0.00027769376,0.8078732,0.0031587374,Eb,major,0.7677887678146362
491,467250,467250_f126,files/467250_9159316-hq.ogg,1032192,1040384,0.015973886474967003,-1017.60266,244.06505,123.29297,46.18965,19.312223,41.508858,39.554253,50.77561,11.258761,22.078316,22.263474,-16.74522,6.8447638,0.008222020231187344,0.00045532046,0.054286722,0.0038386425,0.9206081,6.5695465e-05,0.00018976784,1.0,0.00026167385,0.005117473,0.012848582,6.1976443e-06,0.059676163,Eb,major,0.6554241180419922
492,467250,467250_f127,files/467250_9159316-hq.ogg,1040384,1048576,0.015875065699219704,-1020.1691,242.54813,122.2316,45.07898,18.627882,40.973038,40.697502,51.9818,12.889888,23.277725,23.980576,-14.564877,7.549308,0.0075918748043477535,0.00023972144,0.036110327,0.0033971712,0.9446251,0.00013776106,0.00036665975,1.0,0.00020744937,0.0051363693,0.045860905,0.0001538898,0.060086913,Eb,major,0.4749981164932251
493,467250,467250_f128,files/467250_9159316-hq.ogg,1048576,1056768,0.015952453017234802,-1019.8423,242.8974,119.82617,46.55092,18.435621,38.495148,40.980583,52.746933,13.614451,19.377476,28.62558,-13.592426,4.3742743,0.007603468373417854,0.03002893,3.4197306e-05,0.0005464932,0.9280999,8.315963e-05,1.0,0.00021924028,0.0017424246,0.00016355034,0.6902135,0.00027018576,0.017829815,G,minor,0.6027572154998779
494,467250,467250_f129,files/467250_9159316-hq.ogg,1056768,1064960,0.015708303079009056,-1022.4239,241.78592,120.168976,47.7043,18.53221,38.5683,40.475456,52.90896,15.898814,16.65895,31.49823,-10.98455,0.73708236,0.007260861340910196,0.10844554,0.0002052949,3.395627e-05,0.30544448,6.5088985e-05,1.0,7.8724304e-05,0.008695862,9.228445e-05,0.78144455,8.365847e-05,0.00013898671,D,major,0.8210101127624512
495,467250,467250_f130,files/467250_9159316-hq.ogg,1064960,1073152,0.015594329684972763,-1027.4915,239.19843,122.17374,51.940773,21.1802,36.079483,35.689034,51.828865,20.968843,17.717659,32.32556,-9.69809,-3.7746325,0.007415361702442169,0.26108477,0.0069713793,0.62989396,0.0017383863,0.0038140165,1.0,0.00058677106,0.018469736,0.003140453,0.20442341,0.09555475,0.00080548297,D,major,0.8057677149772644
496,467250,467250_f131,files/467250_9159316-hq.ogg,1073152,1081344,0.015341184101998806,-1029.3003,237.78925,125.23178,56.275734,20.369257,36.06842,34.557213,51.639313,23.409826,12.569108,33.60929,-8.515377,-8.324338,0.008185965940356255,1.0494082e-05,0.00072694884,0.3847354,0.0003328838,1.0,9.98259e-05,0.0029882109,0.0011168335,0.90828866,0.004413926,0.0227553,0.031565633,C#,major,0.5519627332687378
497,467250,467250_f132,files/467250_9159316-hq.ogg,1081344,1089536,0.01523949857801199,-1030.8555,238.78027,123.837555,57.04418,20.972605,34.229263,35.276787,50.58554,26.726988,6.962537,34.310196,1.9580346,-11.077748,0.00792381726205349,0.007850859,0.1512259,2.5346397e-05,0.0035670018,1.0,0.002249237,0.026506297,0.001194181,0.18930112,0.10610404,0.00012267643,0.29427767,C#,major,0.904816746711731
498,467250,467250_f133,files/467250_9159316-hq.ogg,1089536,1097728,0.01475466787815094,-1038.1566,236.31386,127.148224,63.32441,22.17956,29.88378,30.860924,45.492073,37.475426,6.3080187,30.709732,16.451735,-15.411506,0.007258381228893995,0.85629845,0.0014348273,0.00057353807,1.0,0.001442822,0.0112200035,0.01708562,0.00045393183,0.12370417,0.0024472864,0.09997705,0.0076361657,C,major,0.7030805349349976
499,467250,467250_f134,files/467250_9159316-hq.ogg,1097728,1105920,0.014481124468147755,-1039.7261,234.60945,127.61554,66.49762,23.728342,28.550932,29.142006,44.774506,39.80165,6.25578,29.258003,19.996939,-15.6171255,0.006519579328596592,0.592799,0.00010802016,1.0,4.1097028e-05,0.0028401492,0.00042308558,0.9111502,0.0001522198,0.02483366,0.043512087,6.1091145e-05,0.00072531676,B,major,0.6672165393829346
500,467250,467250_f135,files/467250_9159316-hq.ogg,1105920,1114112,0.014649872668087482,-1040.2119,234.37413,128.92424,64.4997,24.691994,28.712297,30.462294,42.665813,41.792065,5.2272806,25.654585,20.950169,-11.773825,0.006502318195998669,0.1746676,5.176073e-05,1.0,0.00013401857,0.01038001,3.0924595e-05,0.9971142,6.0115894e-05,0.00010940643,0.12951341,0.00019838726,9.427946e-05,B,major,0.866472065448761
501,467250,467250_f136,files/467250_9159316-hq.ogg,1114112,1122304,0.014312759973108768,-1040.6543,232.51538,128.6972,64.94667,24.285967,29.71366,31.592953,41.5188,43.928314,4.995858,23.98904,22.597279,-11.357037,0.007474556565284729,0.049026754,9.5799114e-05,1.0,0.00049024884,0.01176988,0.00045132288,0.99735564,0.009827154,1.003687e-05,0.16980787,0.0013126858,8.187937e-05,E,minor,0.6061341166496277
502,467250,467250_f137,files/467250_9159316-hq.ogg,1122304,1130496,0.014213386923074722,-1040.4436,231.55309,128.73122,65.083466,24.238829,29.79755,32.3652,40.612595,45.592026,3.5034487,21.679665,24.556768,-9.624903,0.006385833024978638,0.0006027601,0.0007951615,1.0,0.00146821,0.067162536,0.0062317895,0.9023808,0.34583908,0.00092163606,0.7901706,0.022695072,0.98407066,B,major,0.8303535580635071
503,467250,467250_f138,files/467250_9159316-hq.ogg,1130496,1138688,0.014499964192509651,-1040.9427,231.89928,130.35036,66.32057,24.776854,29.284752,32.330364,39.626972,45.060326,2.9951186,20.940893,24.65014,-10.21106,0.007362295873463154,0.00018907967,0.0004576528,1.0,0.001737661,0.02100022,0.10153181,0.0113421725,0.20154414,0.00016720907,0.12151169,0.009743385,0.9978735,B,minor,0.7703137397766113
